1234 ____;5567 XX__;5858 XX__;5668 XO__;5877 XXXX;;;
1234 ____;5567 XX__;5858 XX__;5668 XXOO;5866 XXXX;;;
1234 ____;5567 XX__;5858 XX__;5668 XXXX;;;;
1234 ____;5567 XX__;5858 XXO_;5887 XXXX;;;;
1234 ____;5567 XX__;5858 XXOO;5588 XXXX;;;;
1234 ____;5567 XX__;5858 XXX_;5558 XX__;5868 XXXX;;;
1234 ____;5567 XX__;5858 XXX_;5558 XXXX;;;;
1234 ____;5567 XXO_;5857 OO__;6565 XXO_;7566 XXXX;;;
1234 ____;5567 XXO_;5857 OO__;6565 XXXX;;;;
1234 ____;5567 XXO_;5857 OOO_;7568 XXO_;8565 XXXX;;;
1234 ____;5567 XXO_;5857 OOO_;7568 XXXX;;;;
1234 ____;5567 XXO_;5857 XO__;5665 OO__;6577 XXXX;;;
1234 ____;5567 XXO_;5857 XO__;5665 XXO_;5766 XXXX;;;
1234 ____;5567 XXO_;5857 XO__;5665 XXXX;;;;
1234 ____;5567 XXO_;5857 XOO_;5586 XOO_;5768 XXXX;;;
1234 ____;5567 XXO_;5857 XOO_;5586 XX__;5575 XXXX;;;
1234 ____;5567 XXO_;5857 XOO_;5586 XXO_;6587 XXXX;;;
1234 ____;5567 XXO_;5857 XOO_;5586 XXXX;;;;
1234 ____;5567 XXO_;5857 XOOO;5578 XXXX;;;;
1234 ____;5567 XXO_;5857 XX__;5556 XO__;5677 XXXX;;;
1234 ____;5567 XXO_;5857 XX__;5556 XXXX;;;;
1234 ____;5567 XXO_;5857 XXO_;5687 XO__;7557 XXXX;;;
1234 ____;5567 XXO_;5857 XXO_;5687 XOO_;5865 XXXX;;;
1234 ____;5567 XXO_;5857 XXO_;5687 XXXX;;;;
1234 ____;5567 XXO_;5857 XXOO;8557 XXXX;;;;
1234 ____;5567 XXO_;5857 XXX_;5757 XXXX;;;;
1234 ____;5567 XXO_;5857 XXXX;;;;;
1234 ____;5567 XXOO;5657 OOOO;7565 XXXX;;;;
1234 ____;5567 XXOO;5657 XOOO;5576 XOOO;5765 XXXX;;;
1234 ____;5567 XXOO;5657 XOOO;5576 XXXX;;;;
1234 ____;5567 XXOO;5657 XXOO;6557 XXXX;;;;
1234 ____;5567 XXOO;5657 XXXX;;;;;
1234 ____;5567 XXX_;5686 OO__;7567 XXXX;;;;
1234 ____;5567 XXX_;5686 OOO_;6567 XXX_;8567 XXXX;;;
1234 ____;5567 XXX_;5686 OOO_;6567 XXXX;;;;
1234 ____;5567 XXX_;5686 X___;5557 XXX_;5577 XXXX;;;
1234 ____;5567 XXX_;5686 X___;5557 XXXX;;;;
1234 ____;5567 XXX_;5686 XO__;5565 XX__;5767 XXXX;;;
1234 ____;5567 XXX_;5686 XO__;5565 XXXX;;;;
