2377 X___;2764 XX__;1562 XOOO;2165 XXXX;;;;;;
2377 XX__;7457 XOO_;5717 XXOO;5177 XXXX;;;;;;
2377 XOO_;3272 XOOO;7322 XOOO;2732 XXXX;;;;;;
1177 ____;3366 OOO_;6563 XOOO;6635 XXXX;;;;;;
1177 X___;8237 XXOO;8283 XXO_;3287 XXXX;;;;;;
1177 XX__;2181 XXO_;6885 ____;1121 XXXX;;;;;;
1177 XO__;6151 XXOO;6115 OOOO;1651 XXXX;;;;;;
8348 ____;7716 OOO_;6571 XOO_;6127 OOOO;1672 XXXX;;;;;
8348 X___;5386 ____;2121 XX__;1117 X___;2144 XXXX;;;;;
8348 XX__;8425 X___;3613 ____;7741 X___;8788 XXXX;;;;;
7654 ____;8328 X___;1218 XX__;1313 XXX_;1311 XXXX;;;;;
7654 X___;2211 XX__;7131 ____;8355 X___;2252 XXXX;;;;;
7654 XX__;3627 ____;1188 X___;1454 XXX_;1554 XXXX;;;;;
7654 XO__;2651 ____;7347 XXOO;7743 XOOO;7437 XXXX;;;;;
7171 ____;2882 XX__;2648 XX__;2543 XXO_;2342 XXXX;;;;;
7171 X___;6278 ____;4174 X___;3558 XX__;3153 XXXX;;;;;
7171 XX__;1241 ____;5756 X___;7438 X___;7777 XXXX;;;;;
2377 ____;5815 OOO_;1584 XOO_;8561 OOOO;1658 XXXX;;;;;
2377 X___;2745 ____;8866 ____;7131 OOO_;1313 XXXX;;;;;
1177 ____;2244 XXX_;2484 XXX_;2284 XX__;2444 XXXX;;;;;
1177 X___;6135 XX__;3485 ____;4862 X___;6166 XXXX;;;;;
1177 XXX_;1417 XX__;2326 ____;6852 X___;1877 XXXX;;;;;
8348 ____;2721 XO__;7571 XX__;6171 XXOO;7161 XOOO;1671 XXXX;;;;
8348 X___;2847 ____;1515 ____;7636 XOO_;6366 XXX_;3366 XXXX;;;;
7654 X___;8338 X___;2658 X___;1321 XX__;5351 XXOO;1355 XXXX;;;;
7171 ____;8448 ____;6223 XXO_;6522 XOO_;3225 XX__;2226 XXXX;;;;
2377 ____;6564 XO__;4541 XX__;4558 XXOO;4585 XOOO;5548 XXXX;;;;
2377 X___;7361 ____;4488 ____;5512 XOO_;2555 XXX_;2525 XXXX;;;;
1177 ____;5656 ____;8248 XO__;3388 ____;2444 XX__;2224 XXXX;;;;
8348 ____;2717 X___;5576 X___;6166 XX__;2266 X___;1116 XXXX;;;;
8348 X___;1385 XOO_;6158 XXOO;1658 XXXX;;;;;;
8348 XX__;8285 ____;1774 XOO_;1347 XXXX;;;;;;
8348 XXO_;8431 XX__;6428 X___;5767 ____;8838 XXXX;;;;;
8348 O___;5613 OOOO;6135 XXOO;3165 OOOO;6531 XXXX;;;;;
8348 OOO_;4833 XXOO;3834 XXXX;;;;;;;
7654 ____;8131 XO__;1221 XX__;3321 OOOO;1233 XXXX;;;;;
7654 X___;2233 XOO_;3252 XXOO;2352 XXXX;;;;;;
7654 XX__;8257 XX__;4384 ____;5754 XOO_;7557 XXXX;;;;;
7654 XXX_;7715 X___;2838 ____;7664 XXX_;7644 XXXX;;;;;
7654 XOOO;5765 OOO_;6457 XOOO;6574 XXXX;;;;;;
7171 ____;6565 ____;4223 OOO_;2834 XXO_;2842 XX__;2344 XXXX;;;;
7171 X___;8123 XOO_;2154 XX__;6182 XXOO;2186 XXXX;;;;;
7171 XX__;1146 ____;2723 XOO_;7273 XXXX;;;;;;
