6543 XX__;4243 XXO_;2343 XXX_;2143 XXXX;;;;;;
3224 XX__;5624 XXX_;5124 XXO_;1624 XXXX;;;;;;
6543 X___;2123 XXX_;3123 XX__;2223 XXXX;;;;;;
3344 XX__;3141 XOO_;3214 OOOO;1342 XXXX;;;;;;
4554 XX__;4523 XXX_;4513 XXO_;4521 XXXX;;;;;;
2311 X___;4541 XXX_;4441 XXX_;4641 XXXX;;;;;;
3224 X___;1215 XXX_;1265 XX__;1211 XXXX;;;;;;
6645 X___;1633 XXX_;2633 XXX_;3633 XXXX;;;;;;
3344 XO__;4321 XXX_;4326 XXO_;4361 XXXX;;;;;;
4554 XO__;3453 XXX_;2453 XXOO;3452 XXXX;;;;;;
3224 OO__;5345 XXX_;6345 XXOO;5346 XXXX;;;;;;
2311 XO__;4214 XXX_;4216 XXOO;6214 XXXX;;;;;;
2535 XO__;3541 XXX_;3561 XXX_;3511 XXXX;;;;;;
3224 XO__;3162 OOOO;6213 OOOO;1326 XXXX;;;;;;
6346 XO__;3361 XXO_;2363 XXO_;1362 XXXX;;;;;;
6645 XO__;1346 OOOO;6134 XXOO;6431 XXXX;;;;;;
6543 XO__;3363 XXX_;2363 XX__;3353 XXXX;;;;;;
2323 O___;3111 XOO_;1136 XXOO;1631 XXXX;;;;;;
2535 O___;4126 OOOO;6241 XXOO;6214 XXXX;;;;;;
2323 XOO_;2236 XO__;3213 OOOO;1332 XXXX;;;;;;
4554 XOO_;5452 XO__;5344 OOOO;4435 XXXX;;;;;;
2311 OOO_;1233 XO__;1152 XXOO;1125 XXXX;;;;;;
2535 OOO_;5423 XOO_;6253 OOO_;5312 XXXX;;;;;;
6346 OOO_;3464 XX__;3661 XXO_;1664 XXXX;;;;;;
6645 OOO_;3564 XO__;5266 XXO_;2466 XXXX;;;;;;
6645 ____;2212 OO__;3123 XX__;1121 XXXX;;;;;;
3224 XOO_;1322 XXO_;1242 XOOO;4122 XXXX;;;;;;
6346 XOO_;6633 XXO_;6263 XO__;3643 XXXX;;;;;;
6543 X___;1522 XXO_;1242 XXO_;1223 XXXX;;;;;;
6543 O___;5112 XXX_;5212 XXOO;5122 XXXX;;;;;;
2311 XO__;2632 XXX_;2635 XXO_;2532 XXXX;;;;;;
6543 XO__;3242 XXO_;1342 XX__;2642 XXXX;;;;;;
2323 X___;1413 OOO_;4361 XXO_;5341 XXXX;;;;;;
4554 X___;3153 OOO_;6531 XX__;4331 XXXX;;;;;;
2311 O___;1644 OOO_;4463 XXOO;4436 XXXX;;;;;;
2535 O___;1363 OOO_;3146 XXO_;3616 XXXX;;;;;;
3224 O___;6353 OOO_;5635 XOO_;1536 XXXX;;;;;;
6645 O___;1362 XXX_;2362 XXO_;1262 XXXX;;;;;;
4554 XXX_;4354 XX__;1554 XXOO;4551 XXXX;;;;;;
6346 XXX_;5346 XX__;6246 XXO_;6326 XXXX;;;;;;
6645 XXX_;1645 XX__;6643 XXO_;6635 XXXX;;;;;;
2323 XOO_;2232 XO__;3312 XXOO;3213 XXXX;;;;;;
3224 XXO_;3423 XX__;1223 XOOO;3122 XXXX;;;;;;
2311 OOO_;1243 OOO_;3126 XOOO;6132 XXXX;;;;;;
3224 OOO_;4432 XXO_;2431 OOOO;4312 XXXX;;;;;;
6346 OOO_;4163 XXO_;4623 XOOO;2463 XXXX;;;;;;
2535 ____;4416 OOO_;6141 OOO_;1664 XXXX;;;;;;
3224 ____;1656 XO__;5151 XX__;1161 XXXX;;;;;;
6346 ____;1551 XXX_;1151 XXOO;1511 XXXX;;;;;;
6645 ____;1123 XO__;3322 OOOO;2233 XXXX;;;;;;
2311 XOO_;6131 OOO_;3216 XXOO;3612 XXXX;;;;;;
2535 XOO_;6355 OOO_;5543 XXX_;5513 XXXX;;;;;;
6645 XOO_;6463 OOO_;3546 XXOO;5346 XXXX;;;;;;
2323 OO__;4235 X___;3636 ____;1212 XXXX;;;;;;
3344 OO__;4113 XXO_;4411 OO__;1133 XXXX;;;;;;
4554 OO__;3425 X___;6446 XX__;1441 XXXX;;;;;;
6543 XX__;6213 XXO_;6323 XXO_;6133 XXXX;;;;;;
3224 XX__;4524 XXO_;6424 XOOO;4264 XXXX;;;;;;
6346 XX__;6216 XXO_;6241 OOO_;2316 XXXX;;;;;;
6645 XX__;6631 XXO_;3641 OOO_;6135 XXXX;;;;;;
2323 XX__;6363 O___;2622 XXOO;2226 XXXX;;;;;;
3344 XX__;3366 XXX_;3316 XXOO;3361 XXXX;;;;;;
4554 XX__;4664 O___;3556 XXOO;6553 XXXX;;;;;;
6543 XOO_;6335 XXX_;6635 XXOO;6365 XXXX;;;;;;
6543 O___;1321 OOO_;3132 XXO_;3212 XXXX;;;;;;
2311 X___;2255 XXO_;2652 XXO_;2556 XXXX;;;;;;
3224 X___;1266 XXO_;1664 XOO_;3166 XXXX;;;;;;
6346 X___;1226 XXO_;2256 OO__;1322 XXXX;;;;;;
