6543 XO__;6123 XOOO;6231 OOOO;2613 XXXX;;;;;;
6543 XOO_;6532 OOO_;4253 XOO_;2463 OOOO;3246 XXXX;;;;;
4215 XOO_;2315 OOO_;5243 XOO_;1234 OOOO;4123 XXXX;;;;;
4215 OO__;5163 XOOO;3156 XOOO;3561 OOOO;1653 XXXX;;;;;
3625 OO__;6412 XOOO;4216 XOOO;6241 OOOO;4162 XXXX;;;;;
1234 XOO_;3264 OOO_;2631 XOO_;1643 OOOO;4136 XXXX;;;;;
6543 XOO_;3541 XX__;3526 XOO_;3642 XXXX;;;;;;
6543 XOOO;6435 XOOO;3526 XOO_;3645 XXXX;;;;;;
4215 XX__;4326 OOO_;6213 XXO_;6235 XXXX;;;;;;
4215 XXOO;5243 OOO_;4562 OOO_;2415 XXXX;;;;;;
4215 XOO_;6214 XOOO;2416 XOOO;1246 XXXX;;;;;;
4215 XOOO;1425 XOOO;5423 XOO_;4521 XXXX;;;;;;
4215 OOO_;1564 XXO_;1526 XX__;1543 XXXX;;;;;;
3625 XX__;1423 OOO_;3641 XXO_;3145 XXXX;;;;;;
3625 XOOO;3562 XOOO;2135 XOO_;5632 XXXX;;;;;;
3625 OOO_;4532 OOO_;2564 XXOO;5264 XXXX;;;;;;
2541 XXOO;4526 OOO_;2134 OOO_;5241 XXXX;;;;;;
2541 XOO_;2431 XOOO;4321 XOOO;2314 XXXX;;;;;;
2541 XOOO;1245 XOOO;1642 XOO_;1524 XXXX;;;;;;
2541 OOO_;4132 OOO_;5321 XXOO;1325 XXXX;;;;;;
2316 XX__;3514 XOO_;2354 XOO_;2415 XXXX;;;;;;
2316 XOO_;2341 XOOO;1324 XOOO;2134 XXXX;;;;;;
2316 XOOO;6213 XOOO;6125 XOO_;2163 XXXX;;;;;;
2316 OOO_;1432 XX__;3625 XXO_;1635 XXXX;;;;;;
1234 XX__;5216 XOO_;6235 XOO_;1536 XXXX;;;;;;
1234 XOO_;1253 XOOO;3215 XOOO;1325 XXXX;;;;;;
1234 XOOO;4132 XOOO;2361 XOO_;1342 XXXX;;;;;;
1234 OOO_;2346 XX__;2153 XXO_;2145 XXXX;;;;;;
6543 XXX_;4523 XXO_;1543 XXXX;;;;;;;
6543 XXO_;3642 XXX_;3542 XXXX;;;;;;;
6543 OOO_;1635 XOO_;3415 OOO_;4136 OOOO;1364 XXXX;;;;;
4215 XXX_;4312 XXO_;4216 XXXX;;;;;;;
4215 XXO_;4352 XXX_;4312 XXXX;;;;;;;
4215 OOO_;1456 XOO_;1624 OOO_;2546 OOOO;5462 XXXX;;;;;
3625 XXX_;3542 XXO_;3645 XXXX;;;;;;;
3625 XXO_;2643 XXX_;2645 XXXX;;;;;;;
3625 OO__;2514 XOOO;1542 OOOO;2451 XXXX;;;;;;
3625 OOO_;6432 XOO_;5234 OOO_;2456 OOOO;4562 XXXX;;;;;
2541 XXX_;2615 XXO_;2641 XXXX;;;;;;;
2541 OOO_;4156 OOO_;5162 XOO_;6412 OOOO;1264 XXXX;;;;;
2316 XXX_;3614 XXO_;2314 XXXX;;;;;;;
2316 XXO_;2463 XXX_;2413 XXXX;;;;;;;
2316 XXOO;2465 XO__;2136 XOOO;2613 XXXX;;;;;;
2316 OO__;6145 XOOO;5641 OOOO;1465 XXXX;;;;;;
2316 OOO_;3462 OOO_;2134 XOO_;6143 OOOO;4631 XXXX;;;;;
1234 XXX_;3524 XXO_;1534 XXXX;;;;;;;
1234 XXO_;5132 XXX_;5134 XXXX;;;;;;;
1234 OO__;4526 XOOO;6542 OOOO;2456 XXXX;;;;;;
6543 XOO_;2546 XO__;4531 XOOO;3514 OOOO;5341 XXXX;;;;;
4215 XOO_;3415 XO__;1625 XOOO;5612 OOOO;2165 XXXX;;;;;
3625 XOO_;2615 XO__;4365 XOOO;6435 OOOO;4653 XXXX;;;;;
2316 XOO_;3416 XO__;5126 XOOO;1256 OOOO;5612 XXXX;;;;;
6543 XOO_;6514 OOO_;1346 XX__;5246 XXXX;;;;;;
6543 OOO_;1436 XOO_;4135 XX__;4632 XXXX;;;;;;
4215 XX__;2635 OOO_;3216 XOO_;4263 XXXX;;;;;;
4215 OOO_;5642 XX__;2136 XOO_;3142 XXXX;;;;;;
3625 XX__;4521 OOO_;3415 XOO_;1645 XXXX;;;;;;
3625 XOO_;4325 OOO_;3246 XX__;3251 XXXX;;;;;;
3625 OOO_;6432 XOO_;5234 XX__;1236 XXXX;;;;;;
3625 OOOO;6231 XXO_;6541 XO__;6253 XXXX;;;;;;
2541 XX__;2634 OOO_;3546 XOO_;6341 XXXX;;;;;;
2541 XOO_;4531 OOO_;1243 XX__;1645 XXXX;;;;;;
2541 OOO_;1423 XX__;3625 XOO_;5426 XXXX;;;;;;
2541 OOOO;1324 XXO_;5364 XO__;1254 XXXX;;;;;;
2316 XOO_;1346 XO__;6352 OOOO;3526 XOOO;5236 XXXX;;;;;
2316 OOOO;4163 XXO_;4125 XO__;3162 XXXX;;;;;;
1234 OOO_;2613 XX__;1563 XOO_;5413 XXXX;;;;;;
4215 XO__;3265 XO__;3416 OOOO;4361 XXOO;4163 XXXX;;;;;
3625 XO__;4615 XO__;3412 OOOO;4321 XXOO;4123 XXXX;;;;;
3625 OOO_;1356 OOO_;6251 OOO_;2513 OOOO;5132 XXXX;;;;;
2541 XO__;2563 XO__;6143 OOOO;3461 XXOO;4361 XXXX;;;;;
6543 XXO_;5342 XOO_;2546 XOOO;6245 XXXX;;;;;;
3625 XOO_;3642 XXO_;3546 XOOO;5643 XXXX;;;;;;
2541 XOO_;2431 XXO_;2135 XOOO;5231 XXXX;;;;;;
6543 XOO_;1563 OO__;3642 XOOO;6432 OOOO;2346 XXXX;;;;;
4215 XOO_;2615 OO__;4132 XOOO;4321 OOOO;1234 XXXX;;;;;
4215 OO__;5136 XOO_;3546 XOOO;6534 OOOO;5643 XXXX;;;;;
2541 XOO_;4531 XO__;1562 XXOO;6512 XOOO;1526 XXXX;;;;;
2316 OO__;1645 XOO_;4653 XOOO;6543 OOOO;5634 XXXX;;;;;
1234 XOO_;6214 OO__;2531 XOOO;5132 OOOO;1523 XXXX;;;;;
1234 OO__;5621 XOO_;3652 XOOO;5362 OOOO;3526 XXXX;;;;;
6543 XXX_;6524 XOO_;2543 XXO_;6243 XXXX;;;;;;
6543 XXO_;2564 XXO_;6514 XXXX;;;;;;;
6543 XO__;6241 XOO_;6132 OOOO;1263 XXXX;;;;;;
6543 XOO_;1563 XXX_;1463 XXO_;1564 XXXX;;;;;;
6543 OOOO;5462 XXO_;1432 OO__;5364 XXXX;;;;;;
4215 XO__;4236 XOO_;1263 OOOO;2316 XXXX;;;;;;
4215 XOO_;4325 XXX_;1325 XXO_;4321 XXXX;;;;;;
3625 XXO_;6215 XXO_;6425 XXXX;;;;;;;
3625 XO__;4615 OO__;1324 OOOO;3142 XXOO;3241 XXXX;;;;;
3625 XOO_;3642 XXX_;5642 XXO_;3542 XXXX;;;;;;
2541 XXX_;4531 XOO_;2543 XXO_;2341 XXXX;;;;;;
2541 XXO_;3524 XXO_;2564 XXXX;;;;;;;
2541 XO__;6543 XOO_;3246 OOOO;2463 XXXX;;;;;;
2541 OOO_;5624 XX__;3145 OOO_;1324 XXXX;;;;;;
2316 XXO_;4126 XXO_;2156 XXXX;;;;;;;
2316 XO__;2415 XOO_;6514 OOOO;1456 XXXX;;;;;;
2316 XOO_;2365 XXX_;1365 XXO_;2165 XXXX;;;;;;
2316 OOO_;3562 OOO_;5613 XX__;4623 XXXX;;;;;;
1234 XXO_;1523 XXO_;1263 XXXX;;;;;;;
1234 XO__;6254 OO__;1365 OOOO;5136 XXOO;5631 XXXX;;;;;
6543 OO__;2165 OOO_;4251 XOOO;1452 OOOO;5214 XXXX;;;;;
6543 OOO_;4625 OO__;5314 XOOO;5431 OOOO;3154 XXXX;;;;;
4215 OO__;2631 OOO_;6352 XOOO;3562 OOOO;5326 XXXX;;;;;
3625 OO__;5461 OOO_;1254 XOOO;4152 OOOO;2514 XXXX;;;;;
3625 OOO_;4356 OO__;1532 XOOO;2513 OOOO;5231 XXXX;;;;;
2541 XO__;6543 OOO_;5631 XXOO;5361 XOOO;3651 XXXX;;;;;
2541 OO__;5316 OOO_;1263 XOOO;6123 OOOO;1632 XXXX;;;;;
2316 OO__;6534 OOO_;3452 XOOO;5423 OOOO;3245 XXXX;;;;;
1234 OO__;6351 OOO_;4563 XOOO;5643 OOOO;3465 XXXX;;;;;
6543 XXO_;6351 OOO_;5143 XOOO;4513 XXXX;;;;;;
6543 OOO_;1364 XXO_;5361 XOOO;1356 XXXX;;;;;;
3625 XXO_;3561 OOO_;6125 XOOO;2615 XXXX;;;;;;
3625 OOO_;2346 XXO_;2456 XOOO;5246 XXXX;;;;;;
2541 XXO_;3524 OOO_;2431 XOOO;2143 XXXX;;;;;;
2316 OOO_;5162 XXO_;5123 XOOO;3152 XXXX;;;;;;
6543 OOO_;4135 OOO_;5613 XOOO;5361 XOOO;3651 XXXX;;;;;
3625 OOO_;6254 OOO_;2435 XOOO;2543 XOOO;4532 XXXX;;;;;
1234 OOO_;4362 OOO_;2136 XOOO;6123 XOOO;2613 XXXX;;;;;
6543 XXO_;6425 XOO_;6342 XXO_;6532 XXXX;;;;;;
6543 XO__;6213 XOO_;5123 XXOO;2153 XXXX;;;;;;
6543 XOO_;6524 XXO_;6234 XXO_;2534 XXXX;;;;;;
6543 OOO_;1436 XXX_;1456 XXO_;1435 XXXX;;;;;;
6543 OOOO;4651 OOO_;1425 XO__;5436 XXXX;;;;;;
4215 XXO_;2645 XOO_;4165 XXO_;1265 XXXX;;;;;;
